ModuleCode,Age,Average
CAM1002,19,59.66386555
CAM1002,22,76.38888889
CAM1002,20,25
CAM1002,68,81.25
CAM1002,21,87.5
CAM1002,57,87.5
CAM1002,45,100
CAM1002,18,87.5
CAM1002,61,75
CAM1000,19,60.68376068
CAM1000,22,79.16666667
CAM1000,20,25
CAM1000,68,68.75
CAM1000,21,93.75
CAM1000,57,70.83333333
CAM1000,45,100
CAM1000,18,83.33333333
CAM1000,61,58.33333333
COM3037,56,80
COM3037,21,52
COM3037,42,35.71428571
COM3037,44,20
COM3037,50,49.05660377
COM3037,66,17.14285714
COM3037,19,49.52380952
COM3037,18,49.61038961
COM3037,69,14.28571429
COM3037,59,51.42857143
COM3037,64,28.57142857
COM3037,22,50.11990408
COM3037,23,48.57142857
COM3037,20,52.53164557
COM3037,60,88.57142857
COM3037,46,38.57142857
COM3037,68,22.85714286
COM3037,65,59.375
COM3037,58,42.25352113
COM3037,63,59.45945946
COM3037,34,27.77777778
COM3037,40,40
COM3037,61,68.57142857
COM3037,47,14.28571429
COM3037,67,45.71428571
COM3037,55,31.42857143
COM3041,56,83.33333333
COM3041,21,64.7260274
COM3041,42,27.77777778
COM3041,44,25
COM3041,50,56.94444444
COM3041,19,58.7962963
COM3041,69,36.11111111
COM3041,59,61.11111111
COM3041,64,38.88888889
COM3041,22,53.96419437
COM3041,23,63.88888889
COM3041,20,68.75
COM3041,46,56.94444444
COM3041,68,30.55555556
COM3041,65,64.51612903
COM3041,18,53.24074074
COM3041,58,48.61111111
COM3041,34,19.44444444
COM3041,40,72.22222222
COM3041,52,100
COM3041,61,88.88888889
COM3041,47,30.55555556
COM3041,55,44.44444444
COM3036,56,77.77777778
COM3036,42,38.88888889
COM3036,19,65.87301587
COM3036,69,44.44444444
COM3036,59,69.44444444
COM3036,21,74.44444444
COM3036,22,65.83333333
COM3036,23,58.33333333
COM3036,20,82.14285714
COM3036,46,68.05555556
COM3036,68,58.33333333
COM3036,65,74.19354839
COM3036,18,60.30150754
COM3036,58,58.33333333
COM3036,34,36.11111111
COM3036,40,83.33333333
COM3036,61,66.66666667
COM3036,47,25
COM3036,55,47.22222222
COM3036,50,83.33333333
GAV4018,19,80.36809816
GAV4018,18,69.23076923
GAV4018,21,61.46788991
GAV4018,65,88.88888889
GAV4018,61,66.66666667
GAV4018,20,67.03296703
GAV4018,69,44.44444444
GAV4018,48,59.25925926
GAV4018,29,75
GAV4018,28,65.2173913
GAV4018,51,53.06122449
GAV4018,22,88.99082569
GAV4018,49,92.59259259
GAV4018,32,66.66666667
GAV4018,64,77.77777778
GAV4018,62,50
GAV4018,66,80.24691358
GAV4018,25,92.59259259
GAV4018,58,77.77777778
GAV4018,46,71.42857143
GAV4018,30,95.83333333
GAV4017,19,54.29234339
GAV4017,43,65.2173913
GAV4017,18,41.26984127
GAV4017,53,85.91549296
GAV4017,21,52.30202578
GAV4017,22,58.99053628
GAV4017,65,59.09090909
GAV4017,20,47.11111111
GAV4017,57,54.54545455
GAV4017,61,40.90909091
GAV4017,66,54.54545455
GAV4017,36,53.84615385
GAV4017,54,28.88888889
GAV4017,51,32.35294118
GAV4017,69,46.73913043
GAV4017,63,31.81818182
GAV4017,45,60.86956522
GAV4017,68,0
